Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p5,OR,NorthernGrid_West,usa,PT,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 03:00:00,2035-01-01 00:00:00,6051.6,0.0,0.0,242.2,6293.7,5843.3,4593.5,8786.7,8591.6,0.0344,0.0499,hydro,gas-cc,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.1,0.01,0.0,0.6,0.6,44.1,0.8,0.08,5.2,332.1,0.02,44.2,15.1,59.3,393.7,7.4,0.74,46.5,2970.9,0.17,394.1,135.1,529.2,20.8,0.0,0.0,20.8,21.89,0.0,0.0,21.89,0.0,0.0,0.0,6098.7,1700.2,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4375.3,0.0,0.0,0.0,0.0,1700.2,0.0
2035-01-01 04:00:00,2035-01-01 01:00:00,5790.5,0.0,0.0,231.5,6022.1,5595.0,4224.8,8189.8,8152.0,0.0338,0.0477,battery,gas-cc,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.2,0.01,0.0,0.6,0.6,52.5,1.0,0.1,6.2,395.1,0.02,52.6,18.0,70.5,443.0,8.3,0.83,52.3,3342.8,0.19,443.5,152.0,595.4,20.8,0.0,0.0,20.8,21.84,0.0,0.0,21.84,0.0,0.0,0.0,5984.3,1797.3,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4163.9,0.0,0.0,0.0,0.0,1797.3,0.0
2035-01-01 05:00:00,2035-01-01 02:00:00,5589.5,0.0,0.0,229.8,5819.3,5403.4,3906.0,7405.3,8448.8,0.0333,0.046,hydro,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.1,0.01,0.0,0.6,0.6,126.5,2.4,0.24,14.9,953.8,0.06,126.6,43.4,170.0,386.1,7.3,0.73,45.6,2913.4,0.17,386.5,132.5,519.0,20.8,0.0,0.0,20.8,21.8,0.0,0.0,21.8,0.0,0.0,0.0,6862.8,1913.2,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4926.4,0.0,0.0,0.0,0.0,1913.2,0.0
2035-01-01 06:00:00,2035-01-01 03:00:00,5484.2,0.0,0.0,194.3,5678.5,5302.9,3590.9,5502.2,6931.2,0.0331,0.0452,wind-ons,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.2,0.01,0.0,0.6,0.6,62.5,1.2,0.12,7.4,470.7,0.03,62.5,21.4,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,20.8,21.78,0.0,0.0,21.78,0.0,0.0,0.0,7107.5,2087.6,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4996.7,0.0,0.0,0.0,0.0,2087.6,0.0
2035-01-01 07:00:00,2035-01-01 04:00:00,5453.7,0.0,0.0,153.9,5607.6,5273.7,3296.6,3433.6,5156.9,0.033,0.0449,gas-cc,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.1,0.01,0.0,0.6,0.6,49.8,0.9,0.1,5.9,374.8,0.02,49.9,17.1,66.9,372.8,7.0,0.7,44.0,2813.1,0.16,373.2,127.9,501.1,20.8,0.0,0.0,20.8,21.78,0.0,0.0,21.78,0.0,0.0,0.0,7330.9,2311.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4996.7,0.0,0.0,0.0,0.0,2311.0,0.0
2035-01-01 08:00:00,2035-01-01 05:00:00,5602.1,0.0,0.0,155.7,5757.8,5415.4,3171.6,3435.0,5283.2,0.0333,0.0461,battery,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.1,0.01,0.0,0.5,0.5,21.7,0.4,0.04,2.6,163.0,0.01,21.7,7.4,29.1,442.3,8.3,0.83,52.2,3337.3,0.19,442.7,151.7,594.5,20.8,0.0,0.0,20.8,21.81,0.0,0.0,21.81,0.0,0.0,0.0,7606.0,2586.2,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4996.7,0.0,0.0,0.0,0.0,2586.2,0.0
2035-01-01 09:00:00,2035-01-01 06:00:00,5841.1,0.0,0.0,152.2,5993.2,5643.1,3242.3,3316.5,5094.1,0.0339,0.0481,wind-ons,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.5,1.0,0.01,0.0,0.5,0.5,22.1,0.4,0.04,2.6,166.1,0.01,22.1,7.6,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,20.8,21.85,0.0,0.0,21.85,0.0,0.0,0.0,7770.8,2750.9,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4996.7,0.0,0.0,0.0,0.0,2750.9,0.0
2035-01-01 10:00:00,2035-01-01 07:00:00,6115.8,0.0,0.0,70.0,6185.8,5904.3,3227.7,1652.1,2310.7,0.0346,0.0504,phs,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.9,0.01,0.0,0.5,0.5,59.5,1.1,0.11,7.0,448.4,0.03,59.6,20.4,80.0,374.9,7.1,0.71,44.3,2829.2,0.16,375.3,128.6,504.0,18.97,0.0,0.0,18.97,19.97,0.0,0.0,19.97,0.0,0.0,0.0,6844.5,2958.1,0.0,23.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,3863.2,0.0,0.0,0.0,2.1,2954.8,0.0
