Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p43,MN,MISO_North,usa,CT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 01:00:00,2025-01-01 00:00:00,6305.3,0.7,0.0,82.7,6388.7,6094.8,5867.5,7559.3,3324.2,0.0334,0.0465,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,3.9,0.03,0.0,2.0,2.0,444.0,48.5,7.04,16.3,1133.9,0.23,447.4,50.1,497.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.24,0.0,0.0,10.24,0.0,0.0,0.0,2153.6,521.3,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,521.3,0.0
2025-01-01 02:00:00,2025-01-01 01:00:00,6033.7,0.7,0.0,79.2,6113.7,5835.6,5590.0,7281.9,3324.2,0.0328,0.0445,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,4.0,0.03,0.0,2.0,2.0,250.4,25.1,3.64,11.3,782.9,0.13,252.1,34.7,286.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.22,0.0,0.0,10.22,0.0,0.0,0.0,2156.0,523.7,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,523.7,0.0
2025-01-01 03:00:00,2025-01-01 02:00:00,5940.0,0.4,0.0,78.1,6018.5,5746.0,5494.4,7186.2,3324.2,0.0327,0.0438,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,4.1,0.04,0.0,2.1,2.1,179.6,14.2,2.02,11.7,835.7,0.1,180.6,36.6,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.21,0.0,0.0,10.21,0.0,0.0,0.0,2156.5,524.1,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,524.1,0.0
2025-01-01 04:00:00,2025-01-01 03:00:00,5884.2,0.7,0.0,77.3,5962.3,5692.7,5438.1,7129.9,3324.2,0.0326,0.0434,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,4.1,0.04,0.0,2.1,2.1,70.3,3.1,0.43,7.0,476.8,0.05,70.5,21.2,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.21,0.0,0.0,10.21,0.0,0.0,0.0,2156.6,524.2,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,524.2,0.0
2025-01-01 05:00:00,2025-01-01 04:00:00,5866.3,0.0,0.0,77.1,5943.4,5675.6,5419.1,7111.0,3324.2,0.0325,0.0433,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,4.1,0.04,0.0,2.1,2.1,83.2,3.3,0.44,8.5,603.4,0.05,83.4,26.5,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.2,0.0,0.0,10.2,0.0,0.0,0.0,2156.6,524.3,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,524.3,0.0
2025-01-01 06:00:00,2025-01-01 05:00:00,5952.6,0.0,0.0,78.2,6030.8,5758.1,5506.5,7198.4,3324.2,0.0327,0.0439,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,4.1,0.04,0.0,2.1,2.1,64.4,1.7,0.22,7.4,517.5,0.04,64.5,22.9,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.21,0.0,0.0,10.21,0.0,0.0,0.0,2156.6,524.3,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,524.3,0.0
2025-01-01 07:00:00,2025-01-01 06:00:00,6109.5,0.0,0.0,80.2,6189.7,5908.0,5665.3,7357.2,3324.2,0.033,0.0451,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.9,4.0,0.03,0.0,2.0,2.0,385.8,41.0,5.94,15.2,1065.1,0.2,388.7,47.0,435.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,9.76,10.22,0.0,0.0,10.22,0.0,0.0,0.0,2156.7,524.4,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.0,524.4,0.0
2025-01-01 08:00:00,2025-01-01 07:00:00,6361.1,0.0,0.0,83.4,6444.4,6148.0,5919.8,7611.7,3324.2,0.0335,0.0469,wind-ons,wind-ons,0.0,0.0,0.0,7.9,16.8,0.15,0.0,8.5,8.5,0.0,0.0,0.0,1.8,3.9,0.03,0.0,2.0,2.0,627.1,70.4,10.23,21.1,1482.1,0.31,632.0,65.3,697.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62,0.0,0.0,10.62,11.14,0.0,0.0,11.14,0.0,0.0,0.0,2156.9,524.6,0.0,83.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,38.4,1510.9,0.0,0.0,0.1,524.4,0.0
