Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p45,IA,MISO_North,usa,CT,2045
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 01:00:00,2045-01-01 00:00:00,2174.7,0.0,0.0,0.0,2174.7,2103.1,2.1,0.0,0.0,0.0329,0.0447,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.2,2.9,0.3,17.8,1121.3,0.07,150.3,51.2,201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7334.3,0.0,7334.3,2174.7,2172.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2172.6,0.0
2045-01-01 02:00:00,2045-01-01 01:00:00,2084.2,0.0,0.0,0.0,2084.2,2016.5,2.1,0.0,0.0,0.0325,0.0429,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,1.4,0.14,8.3,526.5,0.03,70.6,24.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7424.8,0.0,7424.8,2084.2,2082.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.1,0.0
2045-01-01 03:00:00,2045-01-01 02:00:00,2023.2,18.4,0.0,0.0,2041.6,1958.1,2.1,0.0,0.0,0.0322,0.0416,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,2.9,0.3,18.2,1149.7,0.07,154.1,52.5,206.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7467.4,0.0,7467.4,2041.6,2039.5,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.5,0.0
2045-01-01 04:00:00,2045-01-01 03:00:00,1981.1,18.4,0.0,0.0,1999.5,1917.7,2.1,0.0,0.0,0.032,0.0407,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.9,2.9,0.3,18.2,1149.4,0.07,154.1,52.5,206.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7509.4,0.0,7509.4,1999.5,1997.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.4,0.0
2045-01-01 05:00:00,2045-01-01 04:00:00,1977.9,7.6,0.0,0.0,1985.5,1914.7,2.1,0.0,0.0,0.032,0.0407,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.9,2.9,0.3,18.2,1149.4,0.07,154.1,52.5,206.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7518.7,0.0,7518.7,1985.5,1983.5,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.5,0.0
2045-01-01 06:00:00,2045-01-01 05:00:00,1996.8,0.0,0.0,0.0,1996.8,1932.8,2.1,0.0,0.0,0.0321,0.0411,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1,1.4,0.14,8.4,530.4,0.03,71.1,24.2,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7507.0,0.0,7507.0,1996.8,1994.8,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.8,0.0
2045-01-01 07:00:00,2045-01-01 06:00:00,2048.4,0.0,0.0,0.0,2048.4,1982.3,2.1,0.0,0.0,0.0323,0.0421,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,1.3,0.14,8.3,523.6,0.03,70.2,23.9,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7451.3,0.0,7451.3,2048.4,2046.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.3,0.0
2045-01-01 08:00:00,2045-01-01 07:00:00,2123.2,0.0,0.0,0.0,2123.2,2053.8,2.1,0.0,0.0,0.0327,0.0437,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4,1.3,0.13,8.0,503.0,0.03,67.5,23.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7423.7,0.2,7423.9,2123.2,2121.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2074.1,0.0
